NAME,count
"Block Group 1, Census Tract 4919, Baltimore County, Maryland",7
"Block Group 1, Census Tract 4920.01, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4920.02, Baltimore County, Maryland",2
"Block Group 1, Census Tract 4921.01, Baltimore County, Maryland",1
"Block Group 1, Census Tract 4921.02, Baltimore County, Maryland",15
"Block Group 1, Census Tract 4922, Baltimore County, Maryland",38
"Block Group 1, Census Tract 4923, Baltimore County, Maryland",2
"Block Group 1, Census Tract 4924.01, Baltimore County, Maryland",3
"Block Group 1, Census Tract 4925, Baltimore County, Maryland",1
"Block Group 1, Census Tract 602, Baltimore city, Maryland",6
"Block Group 1, Census Tract 603, Baltimore city, Maryland",7
"Block Group 1, Census Tract 604, Baltimore city, Maryland",5
"Block Group 1, Census Tract 701, Baltimore city, Maryland",2
"Block Group 1, Census Tract 703, Baltimore city, Maryland",6
"Block Group 1, Census Tract 801.01, Baltimore city, Maryland",17
"Block Group 1, Census Tract 802, Baltimore city, Maryland",3
"Block Group 1, Census Tract 806, Baltimore city, Maryland",1
"Block Group 1, Census Tract 807, Baltimore city, Maryland",3
"Block Group 1, Census Tract 808, Baltimore city, Maryland",3
"Block Group 1, Census Tract 901, Baltimore city, Maryland",2
"Block Group 1, Census Tract 902, Baltimore city, Maryland",21
"Block Group 1, Census Tract 903, Baltimore city, Maryland",20
"Block Group 1, Census Tract 904, Baltimore city, Maryland",20
"Block Group 1, Census Tract 905, Baltimore city, Maryland",2
"Block Group 1, Census Tract 906, Baltimore city, Maryland",1
"Block Group 1, Census Tract 907, Baltimore city, Maryland",1
"Block Group 1, Census Tract 908, Baltimore city, Maryland",7
"Block Group 1, Census Tract 909, Baltimore city, Maryland",1
"Block Group 1, Census Tract 9802, Baltimore County, Maryland",1
"Block Group 2, Census Tract 1001, Baltimore city, Maryland",5
"Block Group 2, Census Tract 1002, Baltimore city, Maryland",2
"Block Group 2, Census Tract 101, Baltimore city, Maryland",2
"Block Group 2, Census Tract 102, Baltimore city, Maryland",4
"Block Group 2, Census Tract 103, Baltimore city, Maryland",18
"Block Group 2, Census Tract 104, Baltimore city, Maryland",2
"Block Group 2, Census Tract 105, Baltimore city, Maryland",15
"Block Group 2, Census Tract 1101, Baltimore city, Maryland",1
"Block Group 2, Census Tract 1102, Baltimore city, Maryland",6
"Block Group 2, Census Tract 1201, Baltimore city, Maryland",9
"Block Group 2, Census Tract 1202.01, Baltimore city, Maryland",36
"Block Group 2, Census Tract 1202.02, Baltimore city, Maryland",3
"Block Group 2, Census Tract 1203, Baltimore city, Maryland",23
"Block Group 2, Census Tract 1204, Baltimore city, Maryland",13
"Block Group 2, Census Tract 1205, Baltimore city, Maryland",18
"Block Group 2, Census Tract 1206, Baltimore city, Maryland",6
"Block Group 2, Census Tract 1207, Baltimore city, Maryland",20
"Block Group 2, Census Tract 1301, Baltimore city, Maryland",12
"Block Group 2, Census Tract 1302, Baltimore city, Maryland",6
"Block Group 2, Census Tract 1304, Baltimore city, Maryland",2
"Block Group 2, Census Tract 1306, Baltimore city, Maryland",13
"Block Group 2, Census Tract 1307, Baltimore city, Maryland",25
"Block Group 2, Census Tract 1308.03, Baltimore city, Maryland",24
"Block Group 2, Census Tract 1308.04, Baltimore city, Maryland",16
